Rank,Player,Club,Nationality,Stat
4,Lee Peltier,,England,228
4,Conor Hourihane,,Ireland,227
4,Jean-Philippe Mateta,,France,217
4,Davy Pröpper,,Netherlands,211
4,Bernardo,,Brazil,204
4,Shane Long,,Ireland,200
4,Owen Otasowie,,United States,187
4,Brandon Williams,Manchester United,England,187
4,Divock Origi,,Belgium,182
4,Caoimhín Kelleher,Liverpool,Ireland,180
4,Will Norris,,England,180
4,Jack O'Connell,Sheffield United,England,180
4,Marek Rodák,,Slovakia,180
4,William Smallbone,,Ireland,173
4,Rúben Vinagre,,Portugal,172
4,Amad Diallo,,Cote D’Ivoire,167
4,Andi Zeqiri,,Switzerland,165
4,Anthony Elanga,Manchester United,Sweden,156
4,Kamil Grosicki,West Bromwich Albion,Poland,149
4,Joshua King,,Norway,138
4,Charlie Austin,,England,134
4,Maxime Le Marchand,,France,122
4,Neeskens Kebano,,DR Congo,117
4,Gaetano Berardi,,Switzerland,114
4,Kyle Edwards,,England,113
4,Daniel N'Lundulu,,England,102
4,Percy Tau,,South Africa,102
4,Yan Valery,,Tunisia,101
4,John Ruddy,,England,91
4,Jack Butland,,England,90
4,David Button,West Bromwich Albion,England,90
4,Willy Caballero,,Argentina,90
4,Scott Carson,,England,90
4,Ahmed Hegazy,,Egypt,90
4,Sead Kolasinac,,Bosnia & Herzegovina,90
4,Terence Kongolo,,Netherlands,90
4,Kayne Ramsay,,England,90
4,Zack Steffen,,United States,90
4,Emerson,,Italy,89
4,Anthony Gordon,,England,88
4,Sidnei Tavares,,Portugal,85
4,Timothy Fosu-Mensah,,Netherlands,81
4,Niels Nkounkou,,France,81
4,Jonjoe Kenny,,England,79
4,Reiss Nelson,Arsenal,England,70
4,Jake Vokins,,England,66
4,Sam Field,,England,61
4,Michael Obafemi,,Ireland,57
4,João Virgínia,,Portugal,47
4,Shkodran Mustafi,,Germany,45
4,Fikayo Tomori,,England,45
4,Cenk Tosun,,[object Object],44
4,Liam Delap,,England,39
4,Niall Huggins,,Wales,37
4,Joel Mumbongo,,Sweden,37
4,Caleb Watts,,Australia,36
4,Leif Davis,,England,31
